,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,5835.0,1018.0,4817.0,17.446443873179092,82.55355612682091,5835.0,1018.0,4817.0,0.17704963650909597,56.844465423648806,56.66741578713971,0.2113348557193274
2,2.0,5834.0,5399.0,435.0,92.54370929036682,7.45629070963318,11669.0,6417.0,5252.0,1.1160388187415216,61.977814491385416,60.861775672643894,1.2218202589489717
3,3.0,5835.0,5754.0,81.0,98.61182519280206,1.3881748071979416,17504.0,12171.0,5333.0,2.116769278931441,62.933679490205336,60.81691021127389,2.282205137821114
4,4.0,5834.0,5765.0,69.0,98.81727802536852,1.1827219746314768,23338.0,17936.0,5402.0,3.119412849142579,63.74793485957045,60.62852201042787,3.320251758607923
5,5.0,5835.0,5763.0,72.0,98.76606683804627,1.233933161953729,29173.0,23699.0,5474.0,4.121708581168041,64.59759263629927,60.475884055131225,4.329375228352211
6,6.0,5834.0,5787.0,47.0,99.19437778539596,0.8056222146040426,35007.0,29486.0,5521.0,5.1281783714216145,65.15223035166392,60.024051980242305,5.340699148704945
7,7.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,40842.0,35270.0,5572.0,6.134126404396675,65.75407127684683,59.619944872450155,6.32986360373295
8,8.0,5834.0,5783.0,51.0,99.1258141926637,0.8741858073363034,46676.0,41053.0,5623.0,7.139900518278897,66.35591220202974,59.21601168375084,7.300906989151699
9,9.0,5835.0,5791.0,44.0,99.24592973436161,0.75407026563839,52511.0,46844.0,5667.0,8.147065984903822,66.87514751003069,58.72808152512687,8.266101994000353
10,10.0,5834.0,5793.0,41.0,99.29722317449435,0.7027768255056515,58345.0,52637.0,5708.0,9.154579289714425,67.35898041066793,58.2044011209535,9.221618780658725
11,11.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,64180.0,58430.0,5750.0,10.162092594525028,67.85461411375974,57.69252151923471,10.161739130434782
12,12.0,5834.0,5790.0,44.0,99.24580047994515,0.7541995200548541,70014.0,64220.0,5794.0,11.169084142057114,68.37384942176068,57.204765279703565,11.083879875733517
13,13.0,5835.0,5801.0,34.0,99.41730934018852,0.582690659811476,75849.0,70021.0,5828.0,12.177988799610421,68.77507670521595,56.597087905605534,12.01458476321208
14,14.0,5835.0,5805.0,30.0,99.48586118251929,0.5141388174807133,81684.0,75826.0,5858.0,13.187589133535079,69.12910077885296,55.94151164531788,12.94400819392284
15,15.0,5834.0,5804.0,30.0,99.48577305450806,0.5142269454919415,87518.0,81630.0,5888.0,14.197015548366899,69.48312485248996,55.286109304123066,13.863790760869565
16,16.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,93353.0,87425.0,5928.0,15.204876691363177,69.95515695067265,54.75028025930947,14.74780701754386
17,17.0,5834.0,5806.0,28.0,99.52005485087419,0.4799451491258111,99187.0,93231.0,5956.0,16.214650944380676,70.28557941940052,54.07092847501984,15.65329079919409
18,18.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,105022.0,99031.0,5991.0,17.223381682841143,70.69860750531036,53.47522582246922,16.52996160908029
19,19.0,5834.0,5800.0,34.0,99.4172094617758,0.5827905382242022,110856.0,104831.0,6025.0,18.23211242130161,71.09983478876563,52.867722367464026,17.399336099585064
20,20.0,5835.0,5801.0,34.0,99.41730934018852,0.582690659811476,116691.0,110632.0,6059.0,19.241017078854917,71.5010620722209,52.26004499336599,18.259118666446607
21,21.0,5834.0,5795.0,39.0,99.33150497086048,0.6684950291395211,122525.0,116427.0,6098.0,20.248878221851196,71.96129336794903,51.712415146097825,19.092653328960314
22,22.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,128360.0,122220.0,6140.0,21.256391526661798,72.45692707104084,51.200535544379036,19.905537459283387
