,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2501.0,524.0,1977.0,20.951619352259097,79.0483806477409,2501.0,524.0,1977.0,0.2125588187570988,55.95810925559015,55.74555043683306,0.265048052604957
2,2.0,2500.0,2339.0,161.0,93.56,6.439999999999998,5001.0,2863.0,2138.0,1.1613662177510953,60.51514293801302,59.353776720261926,1.3391019644527595
3,3.0,2501.0,2462.0,39.0,98.4406237504998,1.559376249500204,7502.0,5325.0,2177.0,2.1600681486289144,61.61902066232663,59.45895251369772,2.446026642168121
4,4.0,2500.0,2476.0,24.0,99.04,0.9599999999999937,10002.0,7801.0,2201.0,3.1644491319162746,62.29833003113501,59.13388089921874,3.5442980463425715
5,5.0,2501.0,2478.0,23.0,99.08036785285886,0.9196321471411437,12503.0,10279.0,2224.0,4.169641408404997,62.94933484290971,58.77969343450471,4.621852517985611
6,6.0,2500.0,2487.0,13.0,99.48,0.519999999999996,15003.0,12766.0,2237.0,5.178484504299854,63.31729408434758,58.13880958004773,5.706750111756818
7,7.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,17504.0,15249.0,2255.0,6.185705013791984,63.826776110953865,57.641071097161884,6.762305986696231
8,8.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,20004.0,17731.0,2273.0,7.192519876683433,64.33625813756015,57.14373826087672,7.8007039155301365
9,9.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,22505.0,20219.0,2286.0,8.20176861917897,64.70421737899802,56.50244875981905,8.844706911636045
10,10.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,25005.0,22701.0,2304.0,9.20858348207042,65.2136994056043,56.00511592353388,9.852864583333334
11,11.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,27506.0,25187.0,2319.0,10.217020931364596,65.63826776110953,55.42124682974494,10.861147046140578
12,12.0,2500.0,2491.0,9.0,99.64,0.35999999999999943,30006.0,27678.0,2328.0,11.227486613662178,65.89300877441268,54.6655221607505,11.889175257731958
13,13.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,32507.0,30166.0,2341.0,12.236735356157716,66.26096801585055,54.024232659692835,12.8859461768475
14,14.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,35007.0,32650.0,2357.0,13.244361512250528,66.71384092838947,53.469479416138945,13.852354688162919
15,15.0,2501.0,2490.0,11.0,99.56017592962814,0.43982407037185567,37508.0,35140.0,2368.0,14.254421547947429,67.02519105575998,52.770769507812545,14.839527027027026
16,16.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,40008.0,37623.0,2385.0,15.261642057439559,67.50636852533258,52.24472646789302,15.774842767295597
17,17.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,42509.0,40111.0,2398.0,16.270890799935096,67.87432776677045,51.60343696683535,16.726855713094245
18,18.0,2501.0,2490.0,11.0,99.56017592962814,0.43982407037185567,45010.0,42601.0,2409.0,17.280950835631998,68.18567789414095,50.90472705850895,17.684101286841013
19,19.0,2500.0,2487.0,13.0,99.48,0.519999999999996,47510.0,45088.0,2422.0,18.289793931526855,68.55363713557882,50.263843204051966,18.616019818331957
20,20.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,50011.0,47574.0,2437.0,19.29823138082103,68.97820549108407,49.67997411026304,19.52154288059089
21,21.0,2500.0,2476.0,24.0,99.04,0.9599999999999937,52511.0,50050.0,2461.0,20.302612364108388,69.65751485989244,49.35490249578406,20.337261275904105
22,22.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,55012.0,52535.0,2477.0,21.310644166801882,70.11038777243137,48.79974360562949,21.209123940250304
23,23.0,2500.0,2488.0,12.0,99.52,0.480000000000004,57512.0,55023.0,2489.0,22.31989290929742,70.45004245683555,48.130149547538124,22.106468461229408
24,24.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,60013.0,57509.0,2504.0,23.328330358591597,70.87461081234079,47.54628045374919,22.96685303514377
25,25.0,2500.0,2493.0,7.0,99.72,0.28000000000000114,62513.0,60002.0,2511.0,24.33960733409054,71.07274271157657,46.73313537748602,23.895659099960174
26,26.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,65014.0,62484.0,2530.0,25.34642219698199,71.61052929521652,46.26410709823453,24.697233201581028
27,27.0,2500.0,2487.0,13.0,99.48,0.519999999999996,67514.0,64971.0,2543.0,26.355265292876847,71.9784885366544,45.623223243777545,25.548957923712152
28,28.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,70015.0,67453.0,2562.0,27.362080155768293,72.51627512029437,45.15419496452607,26.328259172521467
29,29.0,2500.0,2489.0,11.0,99.56,0.4399999999999977,72515.0,69942.0,2573.0,28.371734544864513,72.82762524766487,44.45589070280036,27.18305479984454
30,30.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,75016.0,72428.0,2588.0,29.38017199415869,73.25219360317011,43.872021609011426,27.986089644513136
31,31.0,2500.0,2491.0,9.0,99.64,0.35999999999999943,77516.0,74919.0,2597.0,30.390637676456272,73.50693461647325,43.11629694001697,28.848286484405083
32,32.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,80017.0,77402.0,2615.0,31.3978581859484,74.01641664307954,42.61855845713114,29.59923518164436
33,33.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,82517.0,79888.0,2629.0,32.40629563524258,74.41268044155109,42.00638480630851,30.387219475085583
34,34.0,2501.0,2478.0,23.0,99.08036785285886,0.9196321471411437,85018.0,82366.0,2652.0,33.4114879117313,75.06368525332579,41.65219734159449,31.058069381598795
35,35.0,2501.0,2495.0,6.0,99.76009596161535,0.23990403838465113,87519.0,84861.0,2658.0,34.42357618043161,75.23351259552788,40.809936415096274,31.926636568848757
36,36.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,90019.0,87343.0,2676.0,35.430391043323056,75.74299462213416,40.31260357881111,32.639387144992526
37,37.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,92520.0,89830.0,2690.0,36.439234139217916,76.13925842060571,39.7000242813878,33.394052044609666
38,38.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,95020.0,92311.0,2709.0,37.44564335550868,76.67704500424568,39.231401648737005,34.07567368032484
39,39.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,97521.0,94798.0,2723.0,38.45448645140354,77.07330880271724,38.618822351313696,34.81380829966948
40,40.0,2500.0,2478.0,22.0,99.12,0.8799999999999955,100021.0,97276.0,2745.0,39.45967872789226,77.69600905745826,38.236330329565995,35.43752276867031
41,41.0,2501.0,2494.0,7.0,99.72011195521792,0.2798880447820835,102522.0,99770.0,2752.0,40.47136134999189,77.89414095669403,37.42277960670214,36.25363372093023
42,42.0,2500.0,2487.0,13.0,99.48,0.519999999999996,105022.0,102257.0,2765.0,41.48020444588674,78.2621001981319,36.78189575224516,36.98264014466546
43,43.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,107523.0,104745.0,2778.0,42.48945318838228,78.63005943956978,36.1406062511875,37.70518358531317
44,44.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,110023.0,107229.0,2794.0,43.4970793444751,79.08293235210868,35.58585300763359,38.37831066571224
45,45.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,112524.0,109716.0,2808.0,44.50592244036995,79.47919615058025,34.9732737102103,39.072649572649574
46,46.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,115024.0,112202.0,2822.0,45.51435988966413,79.8754599490518,34.361100059387674,39.759744861800144
47,47.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,117525.0,114683.0,2842.0,46.52076910595489,80.44155108972545,33.92078198377056,40.35292047853624
48,48.0,2500.0,2487.0,13.0,99.48,0.519999999999996,120025.0,117170.0,2855.0,47.52961220184975,80.80951033116332,33.27989812931357,41.04028021015762
49,49.0,2501.0,2489.0,12.0,99.52019192323071,0.47980807676928805,122526.0,119659.0,2867.0,48.53926659094597,81.1491650155675,32.609898424621534,41.73665852807813
50,50.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,125027.0,122143.0,2884.0,49.54689274703878,81.6303424851401,32.08344973810132,42.351941747572816
51,51.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,127527.0,124628.0,2899.0,50.55492454973227,82.05491084064535,31.49998629091308,42.98999655053467
52,52.0,2501.0,2495.0,6.0,99.76009596161535,0.23990403838465113,130028.0,127123.0,2905.0,51.56701281843258,82.22473818284743,30.65772536441485,43.760068846815834
53,53.0,2500.0,2491.0,9.0,99.64,0.35999999999999943,132528.0,129614.0,2914.0,52.577478500730166,82.47947919615058,29.902000695420412,44.47975291695264
54,54.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,135029.0,132099.0,2930.0,53.58551030342366,82.9323521086895,29.34684180526584,45.08498293515358
55,55.0,2500.0,2492.0,8.0,99.68,0.3199999999999932,137529.0,134591.0,2938.0,54.59638163232192,83.15878856495895,28.562406932637032,45.810415248468345
56,56.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,140030.0,137075.0,2955.0,55.604007788414734,83.63996603453155,28.03595824611682,46.387478849407785
