feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,add variables in this order,variable name
"(0,)",[0.37732892 0.37523942],0.3762841720355215,"('max_count_by_address_30',)",0.004495197001474322,0.0010447501305937412,0.0010447501305937412,1.0,max_count_by_address_30
"(0, 14)",[0.53212607 0.56677695],0.5494515061814382,"('max_count_by_address_30', 'max_count_by_ssn_dob_7')",0.07454535027445092,0.017325439665679954,0.01732543966567995,2.0,max_count_by_ssn_dob_7
"(0, 14, 19)",[0.57095595 0.59655232],0.583754135469267,"('max_count_by_address_30', 'max_count_by_ssn_dob_7', 'homephone_count_7')",0.0550661632680618,0.01279818909977365,0.012798189099773647,3.0,homephone_count_7
"(0, 14, 17, 19)",[0.5866272 0.6158802],0.6012537001567125,"('max_count_by_address_30', 'max_count_by_ssn_dob_7', 'zip5_count_1', 'homephone_count_7')",0.06293275802064192,0.01462650182831271,0.014626501828312708,4.0,zip5_count_1
"(0, 14, 16, 17, 19)",[0.59202507 0.6242382 ],0.6081316385164548,"('max_count_by_address_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_1', 'homephone_count_7')",0.06930095377273093,0.016106564513320598,0.016106564513320598,5.0,max_count_by_homephone_3
"(0, 6, 14, 16, 17, 19)",[0.5928957  0.62806895],0.6104823263102908,"('max_count_by_address_30', 'fulladdress_count_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_1', 'homephone_count_7')",0.07566914952481968,0.01758662719832843,0.017586627198328427,6.0,fulladdress_count_30
"(0, 1, 6, 14, 16, 17, 19)",[0.5928957 0.6312032],0.6120494515061814,"('max_count_by_address_30', 'max_count_by_fulladdress_7', 'fulladdress_count_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_1', 'homephone_count_7')",0.08241194502703128,0.01915375239421907,0.019153752394219067,7.0,max_count_by_fulladdress_7
"(0, 1, 6, 14, 16, 17, 18, 19)",[0.5984677  0.63137733],0.6149225143653143,"('max_count_by_address_30', 'max_count_by_fulladdress_7', 'fulladdress_count_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_1', 'max_count_by_homephone_30', 'homephone_count_7')",0.07079935277322229,0.016454814556851827,0.016454814556851827,8.0,max_count_by_homephone_30
"(0, 1, 4, 6, 14, 16, 17, 18, 19)",[0.60177608 0.63137733],0.6165767020720878,"('max_count_by_address_30', 'max_count_by_fulladdress_7', 'fulladdress_day_since', 'fulladdress_count_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_1', 'max_count_by_homephone_30', 'homephone_count_7')",0.06368195752088784,0.01480062685007838,0.014800626850078378,9.0,fulladdress_day_since
"(0, 1, 4, 6, 14, 15, 16, 17, 18, 19)",[0.60229845 0.63137733],0.6168378896047362,"('max_count_by_address_30', 'max_count_by_fulladdress_7', 'fulladdress_day_since', 'fulladdress_count_30', 'max_count_by_ssn_dob_7', 'ssn_count_30', 'max_count_by_homephone_3', 'zip5_count_1', 'max_count_by_homephone_30', 'homephone_count_7')",0.0625581582705191,0.014539439317429903,0.014539439317429903,10.0,ssn_count_30
