iter	Logloss
0	0.5982695872
1	0.541113794
2	0.505835467
3	0.4844934745
4	0.4695101837
5	0.4585558651
6	0.4496879915
7	0.4439757669
8	0.4396556839
9	0.4371010373
10	0.4346132971
11	0.4327761106
12	0.4312623118
13	0.4297315283
14	0.4283029682
15	0.4276452024
16	0.4268022289
17	0.4260693625
18	0.4255139948
19	0.4250689023
20	0.4246530213
21	0.4244174234
22	0.4241563754
23	0.4238611151
24	0.4235359588
25	0.4231471611
26	0.4226817378
27	0.4223799955
28	0.4222044796
29	0.4221258316
30	0.4219270094
31	0.4215563928
32	0.421417683
33	0.4212529506
34	0.4209171818
35	0.4205287075
36	0.4202580479
37	0.4200214714
38	0.4198531999
39	0.419485554
40	0.4192128811
41	0.4191401476
42	0.4189375714
43	0.4187447201
44	0.4183094634
45	0.4181713234
46	0.4180828056
47	0.4180087412
48	0.4177248886
49	0.4176440924
50	0.4175794709
51	0.4174854223
52	0.4172534592
53	0.416985292
54	0.4165588236
55	0.4164342164
56	0.4161901894
57	0.4159086177
58	0.4157168088
59	0.415590365
60	0.4154508408
61	0.4152680088
62	0.4152071961
63	0.4151398185
64	0.4149863918
65	0.4148926877
66	0.4148011794
67	0.4146716051
68	0.4144491476
69	0.414261522
70	0.414189711
71	0.4140572765
72	0.4137683494
73	0.4137092607
74	0.4134331651
75	0.4133372272
76	0.4130377321
77	0.4129544969
78	0.4128721842
79	0.4127317784
80	0.4126308074
81	0.4124282912
82	0.4123141037
83	0.4121766237
84	0.4119381003
85	0.4118669385
86	0.4117415012
87	0.4115220141
88	0.4113160208
89	0.4111900641
90	0.4111084461
91	0.4109474512
92	0.4108665459
93	0.4107877955
94	0.4107214818
95	0.4105848116
96	0.4103287159
97	0.4102985391
98	0.4102050528
99	0.4101012001
