iter	Passed	Remaining
0	2	294
1	4	225
2	6	196
3	7	177
4	14	278
5	15	246
6	16	223
7	17	204
8	20	206
9	21	192
10	22	182
11	23	172
12	25	170
13	29	183
14	32	184
15	35	186
16	36	180
17	38	174
18	39	169
19	40	163
20	42	161
21	45	161
22	47	159
23	48	154
24	49	149
25	51	147
26	54	146
27	57	148
28	59	144
29	60	140
30	64	143
31	70	149
32	72	146
33	73	143
34	75	140
35	76	136
36	80	137
37	82	133
38	92	144
39	94	142
40	97	140
41	101	140
42	103	137
43	108	138
44	110	135
45	112	131
46	113	128
47	115	124
48	116	121
49	118	118
50	125	120
51	127	117
52	128	114
53	130	110
54	132	108
55	135	106
56	139	105
57	142	102
58	146	101
59	147	98
60	148	95
61	153	94
62	156	92
63	166	93
64	168	90
65	169	87
66	171	84
67	173	81
68	175	78
69	183	78
70	185	75
71	187	73
72	198	73
73	203	71
74	205	68
75	214	67
76	217	64
77	218	61
78	221	58
79	224	56
80	226	53
81	229	50
82	237	48
83	241	45
84	243	42
85	244	39
86	246	36
87	248	33
88	252	31
89	258	28
90	261	25
91	263	22
92	268	20
93	270	17
94	274	14
95	276	11
96	277	8
97	283	5
98	292	2
99	294	0
