,variable,filter score
0,fraud_label,1.0
1,max_count_by_address_30,0.35884197834820397
2,max_count_by_fulladdress_7,0.3429847674771538
3,max_count_by_address_7,0.342962181100942
4,address_day_since,0.33376601264027284
5,fulladdress_day_since,0.33320122978240396
6,address_count_30,0.3322745659834031
7,fulladdress_count_30,0.33190058957911295
8,max_count_by_address_3,0.32906916557302823
9,address_count_14,0.3220602255867706
10,fulladdress_count_14,0.3218888240776827
11,max_count_by_address_1,0.31495444655695226
12,fulladdress_count_7,0.30160105623026434
13,address_count_7,0.3013579265534003
14,address_count_0_by_30,0.29154498970048065
15,max_count_by_ssn_dob_7,0.22842225559594087
16,ssn_count_30,0.22691641710247346
17,max_count_by_homephone_3,0.2247855875641792
18,zip5_count_1,0.221581422012898
19,max_count_by_homephone_30,0.2159576187940676
20,homephone_count_7,0.19439508933636396
21,RANDOM,0.011130465612774143
